id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,vote_average,vote_count
531390,Love Paradox,2000-09-22,"An aspiring dancer meets her former fiance's gay lover, while her friend's beau is attracted to a new neighbor.",,0,Comedy,,4.0,0,0,4.0,1
110366,Sky Hook,2000-02-10,"Belgrade during the height of the war Yugoslavia in 1999. Kaja struggles with daily destruction and the constant threat of being drafted, but also with his impending divorce from his wife Tijana, who wants to emigrate with their son.",,95,"Drama, War",", RS, RS",7.8,0,0,7.8,26
21596,Thomas in Love,2000-09-03,"Thomas Thomas is agoraphobic, has a computer-generated girlfriend, and hasn't left his home in years. Can a prostitute convince him to leave cyberspace and his home for the real world?",,97,"Drama, Comedy, Science Fiction, Romance","BE, FR, BE",6.6,0,0,6.6,32
78960,Simmasanam,2000-08-04,"Sakthivel (Vijayakanth) and Thangarasu (Vijayakanth) are stepbrothers and both are respected by the villagers. But Sakthivel refuses to even acknowledge Thangarasu as his brother since he believes that it was Thangarasu's mother who killed their father. Thangarasu too is under this impression until his grandfather (R.Sunderrajan) tells him the truth. Their father (Vijayakanth), whose first wife (Ambika) was a sharp-tongued woman, married Kannamma (Viji) when she earned a bad name. Thangarasu, who is now convinced that his mother was a good woman, sets out to find the truth.",,0,Drama,,6.0,0,0,6.0,1
919608,Kaali Topi Lal Rumaal,2000-09-15,"Commando Vijay arrests a terrorist, Master DD. However, he realises that Master DD is just a pawn and tries to find the real culprit.",,130,"Action, Crime, Drama",,0.0,0,0,0.0,0
1111927,Money Laundry,2000-04-06,"The Sergeant of the Hong Kong Police Force, Michael, is assigned to investigate an international finance company. It is involved in many cases of money-laundry by an international gang, and his former colleague may also be involved in them.",,90,Crime,,4.0,0,0,4.0,1
432988,The Theft of St. Peter's Treasure,2000-11-05,"Rome is on the thresh-hold of the Holy year 1925, the city wishes to present itself as 'spotless' to the outside world. The appearance of a child's corpse puts an end to these aspirations. The police arrest a small time crook who has committed a robbery but has nothing to do with the murder of the child.",,180,"History, TV Movie",,0.0,0,0,0.0,0
1202697,Slipknot - Live at Lazer 103.3's Y2Kaos 2000,2000-01-01,"01 (sic) 02 Eyeless 03 Wait and Bleed 04 Liberate 05 Surfacing 06 Purity 07 Prosthetics 08 Spit It Out 09 Get This 10 Scissors",,60,Music,,0.0,0,0,0.0,0
25242,Blue's Big Musical Movie,2000-10-03,"Get ready for lots of musical fun in this first full-length movie based on the popular Nick Jr. TV series for preschoolers. Just as friendly cartoon pup Blue and her friends are ready for their big backyard music show, Tickety losers her voice... which means Blue needs a new singing partner!  Where will she find one?  Sit in your thinking chair, play along and see.",Play and think along with Blue in her first movie!,78,"Family, Music, Comedy, Animation",US,8.2,0,0,8.2,9
154953,The Big Picture,2000-06-25,"Consumed by her career, Wendy never imagined going out with Jack. She never imagined spending any time with him at all, but she's about to witness events that will change her mind. She's about to experience her life played out before her very eyes.",,13,Drama,,6.8,0,0,6.8,6
1008890,Pasta For War,2000-01-01,A humorous retooling of wartime propaganda films as troops of rigatoni march in stunning symmetry beneath squadrons of glorious mostacciloli.,,4,Animation,,0.0,0,0,0.0,0
525520,The Diary 3,2000-10-08,"1930s. Anna, the primary character has reinvented herself in Italy as an actress and she is set to star and produce in a film by an Italian production house with questionable background. With these follows, the usual film industry scandals, casting couch, affairs of the stars, orgies at the producer's mansion and a lot of other scenarios warranting nudity.",,90,"Drama, Romance, TV Movie",,3.4,0,0,3.4,5
397247,"Iron Maiden: [2000] Red Rocks, Colorado",2000-08-30,"Iron Maiden at Red Rocks Amphitheatre, Morrison, CO, USA  1. Intro 2. The Wicker Man 3. Ghost of the Navigator 4. Brave New World 5. Wratchild 6. 2 Minutes To Midnight 7. The Mercenary (missing beginning of song) 8. The Trooper 9. The Clansmen 10. The Evil That Men Do 11. Fear of the Dark 12. Iron Maiden 13. The Number of the Beast 14. Hallowed Be Thy Name 15. Sanctuary",,0,,,0.0,0,0,0.0,0
515728,Hitch,2000-01-01,Two friends are on a road trip and a one-sided attraction develops.,,18,Drama,,4.9,0,0,4.9,10
838352,Iníon an Fhiaclóra,2000-01-01,"New kid Rory falls in love with the dentist's daughter Genie, and discovers painfully that falling in love can mean losing not only your teeth but your life....",,28,"Drama, Comedy","IE, IE",0.0,0,0,0.0,0
49301,Je t'aime John Wayne,2000-11-11,"Belmonde lives in 1990s London as an iconic , cool Frenchman modelled on the new wave cinema of the 1960s. Really he is English and middle class – a fact that his family won't let him forget!",,10,Comedy,,5.9,0,0,5.9,19
458097,After Diff'rent Strokes: When the Laughter Stopped,2000-05-16,"You've read the stories, you've seen the documentaries. Now see the movie that brings it all to life.",,60,Drama,,5.2,0,0,5.2,4
485143,This Is My Moon,2000-12-09,"Set in a Northern border village during the Sri Lankan Civil War, a Sinhalese soldier meets a Tamil girl in the battlefield. The soldier leaves the army with the girl, and goes back to his village. The arrival of the Tamil girl into this predominantly Sinhala village causes a stir within the community, where they collectively decide to send her to a refugee camp. ""This is My Moon"" is a controversial examination of village life, where rural myths are shattered to reveal a deeper reality of a society torn apart by war.",,104,War,,5.25,0,0,5.25,4
1121596,The Power of One: The Pokémon 2000 Movie Special,2000-07-16,A promotional concert/behind the scenes special for the American release of Pokémon: The Movie 2000.,,23,"Documentary, Music",,6.0,0,0,6.0,1
209794,David Blaine: Frozen in Time,2000-07-24,"On November 27, 2000, Blaine began a stunt called ""Frozen in Time"", which was covered on a TV special. Blaine stood encased in a massive block of ice located in Times Square, New York City. He was lightly dressed and seen to be shivering even before the blocks of ice were sealed around him. A tube supplied him with air and water while his urine was removed with another tube. He was encased in the box of ice for 63 hours, 42 minutes and 15 seconds before being removed with chain saws. The ice was transparent and resting on an elevated platform to show that he was actually inside the ice the entire time.",Blaine is the hottest name in magic right now.,60,Documentary,,8.0,0,0,8.0,4
575508,Behind the Scenes at Daria,2000-02-18,"Hosted by Janeane Garafalo, this made-for-TV documentary treats animation fans to a behind-the-scenes look at the making of DARIA, the spin-off from BEAVIS AND BUTT-HEAD about an intelligent teenage girl surround by a world full of idiots. Features various interviews with the cast and crew of the series who share insights into what goes into making an episode.",,30,"Documentary, TV Movie",,8.7,0,0,8.7,3
478472,Pottu Amman,2000-12-08,A Tamil and Telugu bilingual devotional film.,,140,,,6.0,0,0,6.0,1
303280,A Quiet Man,2000-01-01,French documentary on director John Carpenter,,42,,,0.0,0,0,0.0,0
939373,No Paisa No Problem,2000-02-18,A Comedy Movie,,0,,,0.0,0,0,0.0,0
283034,Neonnächte - Der U-Bahn-Schlitzer,2000-01-05,"A new case for the energetic criminal investigation officer Beate Stein: The half-undressed corpse of a subway driver is found in a subway tunnel. It soon seems as if the perpetrator has been found in a convicted female murderer. But after his death, the murders continue ...",,92,"Crime, Thriller, TV Movie","DE, DE",0.0,0,0,0.0,0
586510,Kamen Rider Kuuga Super Secret Video: Kuuga vs. the Strong Monster Go-Jiino-Da,2000-08-27,"Yusuke Godai awakens from a nap at the Pore Pore Tea Cafe and finds a scrapbook with newspaper clippings about his battles as Kuuga. As he reminisces about each fight, gaining each of his forms and the Gouram attachment for the TryChaser, Godai gets a call about a new Gurongi. Godai heads over and transforms into Kuuga to face off against the beast who introduces himself as Go-Jiino-Da!",,12,"Action, Adventure, Science Fiction","JP, JP",6.0,0,0,6.0,2
242387,Ménage à trois,2000-01-02,A short by Ulrich Meczulat.,,12,,,4.7,0,0,4.7,3
688066,The Long Count III (Thrilla in Manila),2001-01-01,"The Long Count III (Thrilla in Manila) is the third in a series of works based on the three best-known fights in Muhammad Ali’s career between 1964 and 1975. It addresses the last rounds of the final boxing match between longtime rivals Ali and Joe Frazier, held in Manila on October 1, 1975 and ultimately won by Ali. The subtitle - Ali’s promotional slogan - indicates the subject of this work. Pfeiffer has effaced the figures of the boxers from the ring by digitally copy-pasting sections of background over them. However, they remain as blurred contours, a ghostly presence, and the ropes surrounding the ring occasionally move as one of the invisible fighters leans against them. The soundtrack was extracted from interviews with the boxers who participated in the three fights; Pfeiffer has edited out the words, and only sounds like stammering and breathing remain.",,1,,,0.0,0,0,0.0,0
677984,9-11: American Reflections,2001-12-20,"The film consists of person in the street interviews with diverse people in the Los Angeles area during the several days immediately following the September 11, 2001 tragic events in the United States.",,50,Documentary,US,0.0,0,0,0.0,0
409836,Heart: The Marilyn Bell Story,2001-01-01,"This made-for-TV bio-pic is about Marilyn Bell, a Canadian teenager who, in 1954, was the first person to swim across Lake Ontario. She won the Toronto Canadian National Exhibition prize after Florence Chadwick, a then-famous American swimmer who was widely expected to win, dropped out in the middle of the race. Half of this heart-warming movie is devoted to the 21 hour swim in which the 16-year old Bell is exhorted by her pushy coach Gus Ryder not to give up.",,90,,,5.0,0,0,5.0,7
470866,The Burning Boy,2001-02-20,"A closeted teenage gay boy shares a swim and an afternoon together with his straight best friend. When his looks and longing let his secret out, his friend pleasantly surprises him but an accident occurs and tragedy ensues.",,11,"Romance, Drama",,1.0,0,0,1.0,1
1201030,Ramakien - Through Western Eyes,2001-02-07,"With RAMAKIEN - THROUGH WESTERN EYES, Marco Wilms now tells the pop fairy tale version: Prince Rama is reborn as a teenager in today's Bangkok, as the prince next door, so to speak. His adored Princess Sida becomes a teen girlfriend, whom the demon Thotsakan - here in the form of a Swedish manager - lures out of paradise with promises. In the Forest of Mourning, the magical monkey Hanuman explains to the unfortunate and unsuspecting Prince Rama that he is predestined to destroy the demon in battle. This is his only chance to win his lover back. Teeny Prince Rama submits. And although in the end, the victor seems to collapse under the weight of the trials of his love, he understands that every person must face their fate.",,35,,DE,0.0,0,0,0.0,0
564567,Forbidden Lust,2001-01-01,Soft erotica starring Julie Strain and Monique Gabrielle.,Is it passion... or is it madness?,43,Romance,,0.0,0,0,0.0,0
692409,A Day Under the Sun,2001-03-01,"This poetic documentary film presents the one day events in the Zadar County. It starts late at night, during sleep. The sounds describe the nocturnal images - agitated animal-like bodies, empty streets and the allegorical scenes of a concealed reality. The film leads into the universal presence of nature and the human sphere of the senses. The film's rhythm changes in time and shows the transition from night to late afternoon in a Mediterranean ambiance. Playing with sudden fades from night to dawn, from tension to the carefree game of a spider, to flowers, bees and sheep in the rocky ground of the Island of Pag, and respecting silence as the natural flow of the events, this film makes one aware of the richness of change in the sublime ordinariness of a single day.",,75,Documentary,HR,0.0,0,0,0.0,0
70946,People in Swimsuits Aren't (Necessarily) Shallow,2001-01-10,"A week on St-Martin with vacationing Parisians. Camille surprises her lover Philippe, who's with his wife and children. Lonely Laurette, a secretary, hopes to meet a man. Aziz brings his enthusiastic brother Rafik because his boss had two tickets he couldn't use. Lovers Pauline and the pregnant, cranky Anita find their vacation complicated by an ex-lover of Pauline's. The playboy Jimmy is the hotel M.C., and Carla, free-spirited and sensual, coaches Laurette in the ways of seduction. She is hot and cold to these wiles, alternately attracting and putting off Aziz, hoping Jimmy will try to seduce her, and afraid he might. By week's end, with the help of Camille's diary, we'll know the outcomes.",,95,Comedy,,4.611,0,0,4.611,9
1043646,Con Brio - Karl Ulrich Schnabel,2001-01-01,"""A wonderful film portrait... Leon Fleisher, Peter Serkin and Richard Goode credit Karl Ulrich Schnabel's teaching with providing a decisive impetus for their artistry...""",,57,Documentary,,0.0,0,0,0.0,0
390075,The Police: Ghost in the Machine Tour - Live at Gateshead,2001-10-01,"This video captures The Police during one of their best performances. At the time (1982) The Police were on a high with many fans across the world, but they hadn't quite hit the peak of their superstardom - that was at least another album away.",,124,Music,,0.0,0,0,0.0,0
278650,Princess Diana: The Uncrowned Queen,2001-06-12,"Princess Diana, formerly Diana Spencer, is profiled in this in-depth biography. See how Diana grew up, learn all about her fairy-tale marriage to Prince Charles, and explore everything there is to know about this remarkable woman. Also with profiles of her two children, the Princes William and Harry, with interviews and more from Diana's closest friends.",,0,,,0.0,0,0,0.0,0
900204,Lotus Strike,2001-01-01,,,90,"Action, Crime, Adventure",,0.0,0,0,0.0,0
670297,고추 말리기,2001-02-10,,,0,"Documentary, Drama",,0.0,0,0,0.0,0
436377,Deathlist,2001-01-01,Deathlist concerns a list of names and a masked man trying to kill everyone on it,,66,,,0.0,0,0,0.0,0
383878,La Flor al Culo,2001-01-01,"On a hot and humid day, a young woman going bleach in all parts of the home. A man chases throughout his work and tries through provocation and humor to experience his desire. During their love game, a bright and benefactress star accompanies them.",,7,,,0.0,0,0,0.0,0
318067,Newsboys Shine The Hits Live,2001-05-22,"Christian rockers the Newsboys (Jeff Frankenstein, Peter Furler, Duncan Phillips, Phil Joel and Jody Davis) deliver ""Entertaining Angels,"" ""Shine"" and other hits in this rousing concert filmed in Hershey, Pa., during the band's 1998 ""Step Up to the Microphone"" tour. Other selections include ""Take Me to Your Leader,"" ""Spirit Thing"" and ""Everybody Gets a Shot."" Spectacular special effects and messages of faith punctuate the group's performance.",One Night In Pennsylvania,83,Music,,0.0,0,0,0.0,0
499516,Face à face,2001-08-01,,,0,Comedy,,5.5,0,0,5.5,1
467350,La Tombola,2001-01-01,"Take back the airwaves: Mexico’s video art doyenne Ximena Cuevas books herself onto the tabloid talk show Tombola, toying at first with whimsical deconstruction until she turns the whole affair on its head by seizing the televisual flow itself.",,8,,,8.0,0,0,8.0,1
318219,Bachelor Party Overexposed,2001-04-19,"Ameere has finally proposed to his long time love Jacquelyne, and that day of marital bliss is fast approaching. Only two things stand in the way of Ameere marrying the woman that he truly loves. A wild bachelor party, and a deep seeded secret between the two of them.",,70,,,0.0,0,0,0.0,0
72952,Auf Herz und Nieren,2001-11-17,"What do the Pope, a suitcase full of baking powder, four naive friends and the organ mafia have to do with each other? They are all part of a macabre and grotesque story with a lot of heart and a good dose of black humor. Sandpit friends Rico, Sigi, Dave and Glotze dream of cashing in big time. However, they hadn't planned on falling into the clutches of a drug baron and shady organ dealer. Their only chance is to play along with their adversaries - at least until they realize which heart really matters...",,95,Comedy,"DE, DE",3.0,0,0,3.0,3
958070,Socialmente pericolosi,2001-12-18,,,0,Documentary,,1.0,0,0,1.0,1
1446847,Dublin i regn,2001-08-01,A voice from the past calls,,13,Drama,,4.0,0,0,4.0,1
477639,La Reine de Nacre,2001-06-01,,,0,"Fantasy, Mystery",,10.0,0,0,10.0,1
586371,Flipped,2001-11-01,Short comedy,,10,"Drama, Comedy",,0.0,0,0,0.0,0
1539432,Rukhsati,2001-01-26,,,0,Drama,,0.0,0,0,0.0,0
993849,Naalo Unna Prema,2001-09-01,A young man from Hyderabad is a fan of a professional singer from Vizag. The singer's younger sister plays a practical joke with him by replying to his fan letters as the singer herself; over a period of time she falls in love with him.,,139,Romance,,0.0,0,0,0.0,0
391797,Cold Turkey,2001-01-01,"Leo Regan follows his friend, photographer Lanre Fehintola, as he tries to go cold turkey (detox) from heroin in his council flat and without medication.",,54,Documentary,,7.0,0,0,7.0,4
849181,Holidays Despite All,2001-01-01,"Immigrated to the Paris region since 1964, Kader decides to spend the summer holidays with his family in his native village, not far from Algiers. These few weeks, so eagerly awaited by both sides, constitute a special moment full of strong emotions. The camera follows the family in their meetings, their reunions, their difficulties, their visions of the country and its region, the celebrations, the weddings, their return to France… This film raises many questions. Within this family itself, between those who stayed in the country and those who emigrated to France, how do we perceive the situation in Algeria? What hopes do each of them have for their country? What about the Franco-Algerian relationship? Contemporary immigration? The desire for exile of Algerians today? Different discourses on both sides of the Mediterranean? The desires of each of them…",,70,Documentary,,10.0,0,0,10.0,1
97407,Apocalyptica: Live,2001-07-30,"Live is the first official Apocalyptica DVD which consists of a recorded show in Munich, on the 24th of October, 2001. It only includes tracks from the first 3 albums: Plays Metallica by Four Cellos, Inquisition Symphony and Cult.",,120,,,6.8,0,0,6.8,2
526336,Tango Privado,2001-01-01,Private Tango is the result of complicity between the interpreters and the camera. The movements initially choreographed adapt and reinvent themselves in an improvisation where the camera also becomes her interpreter.,,15,,,0.0,0,0,0.0,0
599985,Roxy Music Musikladen 1973,2001-01-01,"Roxy Music performing live on the Musikladen TV Show in May 1973, Bremen, Germany.  Songs: Do the Strand / Editions of You /In Every Dream Home a Heartache / Remake/Remodel / Virginia Plain",,25,Music,,0.0,0,0,0.0,0
1470660,Objectif bac,2001-05-01,,,0,"TV Movie, Comedy",,0.0,0,0,0.0,0
346446,My Babushka: Searching Ukrainian Identities,2001-01-01,"This video documentary centers on the questions of civil liberties and cultural differences in a society beginning to open as one woman searches for her own ethnic roots, identity and family history in Ukraine. Issues of human rights, anti-Semitism, homophobia, feminism and a divided and economically-depressed country are encountered as Barbara Hammer, a feminist activist and pioneer of lesbian cinema, return to a “homeland” full of struggling as people search for a new post-glasnost identity.",,53,"History, Documentary",,1.0,0,0,1.0,1
1181371,Nanna Preethiya Hudugi,2001-04-06,"Nanna Preethiya Hudugi (transl. The Girl I Love) is a 2001 Indian Kannada-language romance film directed and written by Nagathihalli Chandrashekar. It stars newcomers Dhyan and Deepali in lead roles and actors such as Lokesh, Bhavya and Suresh Heblikar in other prominent roles.  The story is based on Chandrashekar's own decade-old short story ""Malenada Hudugi, Bayaluseeme Huduga"".",,0,,,0.0,0,0,0.0,0
534431,Fool's Game,2001-03-07,"Mikael, Skip and P'tit Louis are planning a big job. In his car, Michael pulls out his hair by making P'tit Louis repeat the insults that he will have to utter to Perron's secretary. Perron (Miki Manojlovic) is the producer they have come to bully for ignoring their script seven times in a row. The three guys have a grudge against the entire film industry. What they are looking for is a minimum of interest in their plot, a deign to read their script. So they take the producer and his daughter hostage, then demand a TV crew to make their demands known.",,77,"Crime, Thriller","FR, FR, FR",0.0,0,0,0.0,0
