id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
1213060,Retro vs Modern: The Ultimate Test,2022-05-06,"Ex-pro cyclist Simon Richardson is on a quest to find out how performance has changed over the decades by comparing a modern racing machine with a classic bike of yesteryear.  Simon will be recreating Eddy Merckx’s legendary 1969 Faema Team bike from scratch, travelling the country to source new-old stock which has laid dormant for years. This includes a  period correct bike fit from Terry Dolan, and input from retro legends; Sid Barras and Philippa York, to discuss how the bikes they raced on compare against today's carbon beasts.  But how will a retro 60s replica really compare when pitted  against a modern carbon road bike?",,60,,,0.0,0,0,0.0,0.0,0
1391275,Elixir,2022-05-06,"A grandmother's imminent death thrusts her young granddaughter into action as she seeks to save her by any means possible. As the grandmother's condition deteriorates, the young girl's desperation grows, along with the extremity of her actions.",,11,"Drama, Horror",,0.0,0,0,0.3387,0.0,0
1455644,Disability Benefits,2022-05-06,"Channel 4 Blap. Having been made redundant, and with her state benefits cut to shreds, a young woman with cerebral palsy and very little left to lose begins to build an illegal drugs empire.",,15,"Comedy, Drama","GB, GB",0.0,0,0,0.0658,0.0,0
1245516,"VIDA CURTA, DIAS LONGOS",2022-05-06,,,0,Comedy,,0.0,0,0,0.0143,0.0,0
1173325,SOY,2022-05-06,,,0,"Drama, Fantasy, Thriller",,0.0,0,0,0.0,0.0,0
1445555,First Mission,2022-05-06,"The Hirose family has been protecting the area of Funabashi, Chiba since ancient times.  The parents of the siblings, who are descendants of the Hirose family, passed away early, and the elder brother (Hayate) carefully raised the younger sister (Kodama Momoka), and they both devoted themselves to training together.  Then one day, the evil organization ""Corona"" appears.Their bio-terrorist plan threatens the peace of Funabashi.This is where the Hirose siblings, heroes in their own right, come in.However, the older brother is unable to go on a mission due to a deep wound, and the younger sister has yet to go on a mission.  Just when they are about to give up, ...... the beloved sister stands up and vows to her brother to carry out the mission!  The ""first mission"" seems reckless for just one person.Will she be able to protect the peace of Funabashi?  To protect what is important to you! Beat up a group of powerful enemies! Hero is close by!",,82,Action,,0.0,0,0,1.5981,0.0,0
1480270,阿岭扎嘎,2022-05-06,,,0,Documentary,,0.0,0,0,0.0071,0.0,0
1362833,Living in Two Houses,2022-05-06,,,0,Drama,,4.0,0,0,1.8533,4.0,1
1160158,A Cop Story,2022-07-06,"A short film about a policeman who decided to impersonate a taxi driver to hunt down a serial killer, who used to kill taxi drivers and steal their money in Kuwait during the 1980s.",,18,Mystery,,4.0,20000,12900,0.0214,4.0,1
916427,Dreaming Walls,2022-07-08,The end of an eight-year upmarket renovation of the legendary Chelsea Hotel is partly longed for and partly dreaded by the artists who still live there. The film grants us access to their apartments and interweaves the past with the present.,A legendary New York Hotel seen through the eyes of those who never left.,80,"Documentary, History",,5.9,21068,0,0.3678,5.9,9
874355,Gone in the Night,2022-07-15,"Upon arriving at a remote cabin in the redwoods, Kath and her boyfriend find a mysterious younger couple already there — the rental has apparently been double-booked. They decide to share the cabin with these strangers until the next morning, but her boyfriend disappears with the young woman, which sends Kath in a spiral to find an explanation for their sudden breakup — but the truth is far stranger than she could have imagined.",Some secrets are better left buried.,90,"Mystery, Thriller","US, IN, ",5.6,123833,0,1.588,5.6,144
933963,Gabby Giffords Won't Back Down,2022-07-15,"The extraordinary story of former Arizona Congresswoman Gabby Giffords: her relentless fight to recover following an assassination attempt in 2011, and her new life as one of the most effective activists in the battle against gun violence.",,98,Documentary,"US, US, US, ",8.5,75124,0,1.3542,8.5,2
